"GEOID","totalE","ownerE","renterE"
"42101002000",1182,713,469
"42101002100",995,599,396
"42101002200",1171,577,594
"42101002300",1260,640,620
"42101002400",2543,1381,1162
"42101002500",2017,1164,853
"42101002701",1926,1185,741
"42101002702",1950,1300,650
"42101002801",1654,758,896
"42101002802",2396,1469,927
"42101002900",2153,1353,800
"42101003001",1643,969,674
"42101003002",1541,840,701
"42101003100",2280,1345,935
"42101003200",1741,1074,667
"42101003300",2626,939,1687
"42101003600",2541,1316,1225
"42101003701",2319,1475,844
"42101003702",1279,789,490
"42101003800",1658,1340,318
"42101003901",2959,1311,1648
"42101003902",2384,1757,627
"42101004001",2013,1036,977
"42101004002",2327,1741,586
"42101004101",1995,1330,665
"42101004103",1373,795,578
"42101004104",1372,720,652
"42101004201",2068,1564,504
"42101004202",2037,1480,557
"42101005400",748,277,471
"42101005500",2754,1666,1088
"42101005600",673,71,602
"42101006000",2489,1405,1084
"42101006100",1217,905,312
"42101006200",1565,724,841
"42101006300",1659,537,1122
"42101006400",1646,1031,615
"42101006500",1698,800,898
"42101006600",1482,458,1024
"42101006700",3024,1175,1849
"42101007000",1544,731,813
"42101007101",804,351,453
"42101007102",1775,999,776
"42101007200",1799,825,974
"42101007300",1457,766,691
"42101007400",1851,820,1031
"42101007700",722,81,641
"42101007800",2175,506,1669
"42101007900",2056,887,1169
"42101008000",1787,850,937
"42101008101",980,573,407
"42101008102",2136,1246,890
"42101008200",3070,2139,931
"42101008301",1681,638,1043
"42101008302",1971,846,1125
"42101008400",1825,1069,756
"42101008500",3067,1181,1886
"42101008601",1537,383,1154
"42101008602",1624,270,1354
"42101008701",1866,275,1591
"42101008702",1688,146,1542
"42101008801",398,0,398
"42101008802",1577,97,1480
"42101009000",1412,155,1257
"42101009100",1747,166,1581
"42101009200",1441,535,906
"42101009300",2201,1238,963
"42101009400",1765,557,1208
"42101009500",1575,654,921
"42101009600",1464,775,689
"42101009801",1056,646,410
"42101009802",2081,1501,580
"42101010000",1806,1080,726
"42101010100",2570,1268,1302
"42101010200",1473,533,940
"42101010300",1017,474,543
"42101010400",1550,534,1016
"42101010500",1562,579,983
"42101010600",678,145,533
"42101010700",1150,433,717
"42101010800",1943,613,1330
"42101010900",1076,259,817
"42101011000",1421,466,955
"42101011100",1451,773,678
"42101011200",1889,947,942
"42101011300",1382,919,463
"42101011400",3250,1649,1601
"42101011500",1730,1453,277
"42101011700",366,295,71
"42101011800",2094,1797,297
"42101011900",2339,1197,1142
"42101012000",631,261,370
"42101012100",1596,398,1198
"42101012201",2052,0,2052
"42101012203",736,0,736
"42101012204",1912,947,965
"42101012501",1188,0,1188
"42101012502",2647,440,2207
"42101013100",874,132,742
"42101013200",1583,339,1244
"42101013300",1911,353,1558
"42101013401",1864,1160,704
"42101013402",1901,514,1387
"42101013500",1722,1161,561
"42101013601",1559,979,580
